iter	Passed	Remaining
297	551	1298
298	553	1297
299	556	1298
300	558	1296
301	559	1292
302	560	1290
303	562	1288
304	565	1289
305	567	1286
306	568	1282
307	570	1280
308	574	1285
309	576	1283
310	578	1280
311	578	1276
312	579	1272
313	581	1270
314	582	1267
315	584	1264
316	585	1261
317	586	1258
318	587	1254
319	588	1250
320	589	1246
321	590	1242
322	590	1238
323	591	1234
324	593	1232
325	595	1231
326	596	1227
327	597	1224
328	598	1220
329	600	1219
330	601	1216
331	604	1215
332	605	1213
333	607	1210
334	608	1206
335	609	1203
336	610	1201
337	613	1202
338	614	1198
339	615	1195
340	616	1191
341	617	1188
342	619	1186
343	620	1183
344	622	1182
345	623	1179
346	624	1176
347	625	1172
348	627	1170
349	629	1169
350	631	1167
351	632	1164
352	634	1162
353	635	1159
354	638	1159
355	639	1157
356	640	1153
357	641	1151
358	643	1148
359	644	1145
360	645	1142
361	646	1138
362	647	1136
363	649	1135
364	651	1132
365	652	1130
366	653	1127
367	654	1124
368	655	1121
369	656	1118
370	658	1115
371	658	1112
372	660	1109
373	661	1107
374	663	1105
375	664	1103
376	666	1100
377	668	1099
378	669	1097
379	670	1094
380	672	1091
381	675	1092
382	678	1092
383	679	1090
384	680	1087
385	683	1086
386	686	1087
387	688	1085
388	689	1082
389	690	1080
390	692	1078
391	693	1075
392	694	1072
393	695	1069
394	696	1067
395	697	1064
396	698	1061
397	699	1057
398	700	1054
399	701	1051
400	702	1048
401	702	1045
402	704	1043
403	705	1040
404	707	1038
405	708	1036
406	709	1033
407	710	1030
408	711	1028
409	712	1025
410	713	1022
411	714	1019
412	715	1017
413	716	1014
414	717	1011
415	718	1008
416	719	1006
417	720	1002
418	721	1000
419	722	997
420	722	994
421	723	991
422	724	988
423	725	985
424	726	983
425	727	980
426	728	977
427	729	974
428	730	971
429	731	969
430	733	967
431	734	965
432	735	963
433	736	960
434	737	958
435	738	955
436	739	952
437	740	949
438	741	947
439	742	944
440	743	941
441	744	939
442	744	936
443	745	933
444	746	931
445	748	929
446	750	928
447	753	928
448	755	927
449	757	926
450	758	923
451	760	921
452	762	920
453	764	919
454	765	917
455	767	915
456	768	912
457	769	910
458	771	909
459	772	906
460	773	904
